                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20210726"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      629                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233228569217637E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233228569217637E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501760673832930E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501760673832930E+001                 -2.1501760673832930E+001                 -6.0797050571219295E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9712511574718681E+000                  2.9946233503191624E+000                  1.0774625210803421E+000                  2.5261806338287429E+000                  8.9988265338999582E-004                  1.2196142602066216E+001                 -1.9931914216519873E+000                  6.3740931862718577E+000                  1.3368683689526626E+000                  5.0001761253083588E-001                  4.0211392029941573E+000                  1.2312589399055551E-036                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022867E-003                  1.2064091762751367E-003                  3.2831846758022898E-003                  2.9606663142285875E-038                  1.7375650684262225E+000                                        0                                        2 
                                       5                                      631                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233227128883248E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233227128883248E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501760408828861E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501760408828861E+001                 -2.1501760408828861E+001                 -5.9925673355006374E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713694130703878E+000                  2.9950962485511701E+000                  1.0774624589993067E+000                  2.5261807579908138E+000                 -4.6302030255397506E-004                  1.2196142633715597E+001                 -1.9931913968690163E+000                  6.3740931933231399E+000                  1.3368683689478593E+000                  5.0001761253083588E-001                  4.0211392029941564E+000                  9.1625392231728785E-036                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751367E-003                  3.2831846758022902E-003                  2.2032101741735561E-037                  1.7375650684262225E+000                                        0                                        2 
                                      10                                      631                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233229759599731E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233229759599731E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501759643260577E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501759643260577E+001                 -2.1501759643260577E+001                 -5.9383883432367305E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713538291055470E+000                  2.9950329852538711E+000                  1.0774619952803390E+000                  2.5261816854287491E+000                 -1.9827404683809622E-004                  1.2196142725017962E+001                 -1.9931913269688937E+000                  6.3740932149744491E+000                  1.3368683689323071E+000                  5.0001761253083588E-001                  4.0211392029941573E+000                  3.1961897359455923E-035                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751369E-003                  3.2831846758022898E-003                  7.6855094906733361E-037                  1.7375650684262225E+000                                        0                                        2 
                                      15                                      631                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233237795980844E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233237795980844E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501757738665784E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501757738665784E+001                 -2.1501757738665784E+001                 -5.8942649415798201E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713475071096314E+000                  2.9950067727582059E+000                  1.0774615330243378E+000                  2.5261826099407521E+000                 -7.6380200544429937E-005                  1.2196142952174720E+001                 -1.9931911549380681E+000                  6.3740932703851483E+000                  1.3368683688916150E+000                  5.0001761253083588E-001                  4.0211392029941564E+000                  8.8694178669648518E-035                  9.9289432481498452E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751367E-003                  3.2831846758022898E-003                  2.1327270198050449E-036                  1.7375650684262223E+000                                        0                                        2 
                                      20                                      631                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233255586064443E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233255586064443E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501752999663974E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501752999663974E+001                 -2.1501752999663974E+001                 -5.8533959140837602E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713448120827022E+000                  2.9949950655130433E+000                  1.0774610694556153E+000                  2.5261835370781967E+000                 -3.2789121566302679E-005                  1.2196143517392743E+001                 -1.9931907287780097E+000                  6.3740934098143018E+000                  1.3368683687883511E+000                  5.0001761253083588E-001                  4.0211392029941573E+000                  2.2986339315593431E-034                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751369E-003                  3.2831846758022902E-003                  5.5272618969243958E-036                  1.7375650684262225E+000                                        0                                        2 
                                      25                                      631                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233290985085892E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233290985085892E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501741206640816E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501741206640816E+001                 -2.1501741206640816E+001                 -5.8142433830555660E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713436428348743E+000                  2.9949892143732866E+000                  1.0774604823813916E+000                  2.5261847112266440E+000                 -1.8803199953377087E-005                  1.2196144923909973E+001                 -1.9931896702255294E+000                  6.3740937583592885E+000                  1.3368683685293352E+000                  5.0001761253083588E-001                  4.0211392029941564E+000                  5.8114469475715769E-034                  9.9289432481498430E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751367E-003                  3.2831846758022898E-003                  1.3974126014386214E-035                  1.7375650684262223E+000                                        0                                        2 
                                      30                                      631                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233392291095645E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233392291095645E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501711856099071E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501711856099071E+001                 -2.1501711856099071E+001                 -5.7767765422603766E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713432902520540E+000                  2.9949857412984131E+000                  1.0774594510095947E+000                  2.5261867739702377E+000                 -1.4753029198182794E-005                  1.2196148424261278E+001                 -1.9931870378223642E+000                  6.3740946273983345E+000                  1.3368683678826239E+000                  5.0001761253083588E-001                  4.0211392029941564E+000                  1.4552891798642666E-033                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751367E-003                  3.2831846758022898E-003                  3.4993711282513824E-035                  1.7375650684262225E+000                                        0                                        2 
                                      35                                      631                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233720802782838E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3233720802782838E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501638810315235E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501638810315235E+001                 -2.1501638810315235E+001                 -5.7414624949114057E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713434410948141E+000                  2.9949817684318405E+000                  1.0774571628907890E+000                  2.5261913502078497E+000                 -1.3797370786616478E-005                  1.2196157135285953E+001                 -1.9931804886273015E+000                  6.3740967916144315E+000                  1.3368683662712466E+000                  5.0001761253083588E-001                  4.0211392029941573E+000                  3.6307143279541808E-033                  9.9289432481498441E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751371E-003                  3.2831846758022898E-003                  8.7303881575140033E-035                  1.7375650684262223E+000                                        0                                        2 
                                      40                                      631                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.7500000000000000E+000                  3.3541543959046962E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3234563569754724E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999975832259391E-001                  3.3234563569754724E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1501457035747428E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501457035747428E+001                 -2.1501457035747428E+001                 -5.7082473371661607E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.7500000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9713440981043369E+000                  2.9949732914397669E+000                  1.0774516103757072E+000                  2.5262024552380127E+000                 -1.3622960915446659E-005                  1.2196178812178937E+001                 -1.9931641922868613E+000                  6.3741021779341098E+000                  1.3368683622603854E+000                  5.0001761253083588E-001                  4.0211392029941564E+000                  9.0455653049002586E-033                  9.9289432481498452E-001                  1.2064091762751352E-003                  3.2831846758022872E-003                  1.2064091762751371E-003                  3.2831846758022906E-003                  2.1750992126590517E-034                  1.7375650684262225E+000                                        0                                        2 
