                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20210726"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      495                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4968242670638172E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4968242670638172E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0321402869324473E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0321402869324473E+001                 -4.0321402869324473E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8649529224912818E+000                  4.5982601346277834E+000                  2.0918773831958246E+000                  1.1574028479034271E+000                  7.3905380342051658E-002                  9.5758564723851762E+000                 -4.2618984914828149E+000                  5.9043720524155674E+000                  1.3405968793240759E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  5.7466579011436007E-056                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  4.6438016790071359E-057                  7.8871605580469266E+000                                        0                                        2 
                                       5                                      498                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4968473999544888E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4968473999544888E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0321393674701341E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0321393674701341E+001                 -4.0321393674701341E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8652079192852629E+000                  4.5992800861418974E+000                  2.0918773653649207E+000                  1.1574028835652350E+000                 -6.6663985910336227E-003                  9.5758572578812640E+000                 -4.2618979016949599E+000                  5.9043722483874106E+000                  1.3405968782158404E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  4.2764820868882079E-055                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  3.4557716239417502E-056                  7.8871605580469266E+000                                        0                                        2 
                                      10                                      498                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4969140333296909E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4969140333296909E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0321367721765377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0321367721765377E+001                 -4.0321367721765377E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651878910544673E+000                  4.5991981011270635E+000                  2.0918764293190941E+000                  1.1574047556568881E+000                 -6.1790343098906218E-003                  9.5758594793671534E+000                 -4.2618962309409918E+000                  5.9043728015369954E+000                  1.3405968750910207E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  1.4918219786203524E-054                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.2055230946626175E-055                  7.8871605580469266E+000                                        0                                        2 
                                      15                                      498                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4970796558203834E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4970796558203834E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0321303121247844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0321303121247844E+001                 -4.0321303121247844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651606306475661E+000                  4.5990848409897147E+000                  2.0918743200642220E+000                  1.1574089741666325E+000                 -5.5640242825737039E-003                  9.5758650087629000E+000                 -4.2618920724720484E+000                  5.9043741784050834E+000                  1.3405968673127433E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  4.1401246383651654E-054                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  3.3455870726613705E-055                  7.8871605580469266E+000                                        0                                        2 
                                      20                                      498                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4974910606837924E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4974910606837924E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0321142351529929E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0321142351529929E+001                 -4.0321142351529929E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651380998806406E+000                  4.5989856243097815E+000                  2.0918697732581064E+000                  1.1574180677788635E+000                 -4.7429202583721304E-003                  9.5758787694258309E+000                 -4.2618817236901290E+000                  5.9043776049863679E+000                  1.3405968479549104E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  1.0731793712944875E-053                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  8.6722582777264481E-055                  7.8871605580469266E+000                                        0                                        2 
                                      25                                      498                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4985158836371147E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.4985158836371147E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0320742330548335E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0320742330548335E+001                 -4.0320742330548335E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651244973147669E+000                  4.5989117442702563E+000                  2.0918600383700912E+000                  1.1574375375548938E+000                 -4.1404871745124522E-003                  9.5759130084310140E+000                 -4.2618559739481174E+000                  5.9043861308935508E+000                  1.3405967997892916E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  2.7145402571380459E-053                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  2.1936057633843785E-054                  7.8871605580469266E+000                                        0                                        2 
                                      30                                      498                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5011065407853188E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5011065407853188E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0319746982489107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0319746982489107E+001                 -4.0319746982489107E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651188247075177E+000                  4.5988449395951685E+000                  2.0918379812470467E+000                  1.1574816518009834E+000                 -3.8468285264608550E-003                  9.5759982037132261E+000                 -4.2617919021465065E+000                  5.9044073455217667E+000                  1.3405966799395077E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  6.8058552951237230E-053                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  5.4998518399581508E-054                  7.8871605580469266E+000                                        0                                        2 
                                      35                                      498                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5079260764810747E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5079260764810747E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0317270192365001E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0317270192365001E+001                 -4.0317270192365001E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651216578662342E+000                  4.5987515176151694E+000                  2.0917856039396132E+000                  1.1575864064158501E+000                 -3.7075904112904897E-003                  9.5762102011798014E+000                 -4.2616324694939385E+000                  5.9044601360770175E+000                  1.3405963816941577E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  1.7030358923844727E-052                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  1.3762806800336477E-053                  7.8871605580469266E+000                                        0                                        2 
                                      40                                      498                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5280470517120985E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997757449934654E-001                  5.5280470517120985E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.0311109371229435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -4.0311109371229435E+001                 -4.0311109371229435E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  8.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.8651392122969508E+000                  4.5985674348450214E+000                  2.0916584536931060E+000                  1.1578407069088643E+000                 -3.6339230965173872E-003                  9.5767375540814914E+000                 -4.2612358700349686E+000                  5.9045914533663630E+000                  1.3405956397559804E+000                  5.0001748837402238E-001                  4.0426479561812982E+000                  4.2746757736885053E-052                  9.8589506975586561E-001                  2.4128183525503086E-003                  6.5663693516046775E-003                  2.4128183525503081E-003                  6.5663693516046766E-003                  3.4548066618598856E-053                  7.8871605580469266E+000                                        0                                        2 
