                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "15140"                               "gfortran"                                 "10.2.0"                    "x86_64-linux-21.4.1"                                 "CRMATH"                               "20210726"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      512                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9327833666555701E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9327833666555701E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4514073872675347E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4514073872675347E+001                 -3.4514073872675347E+001                 -8.9307020768236612E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644229201576007E+000                  4.4806836202262144E+000                  1.8341491306624036E+000                  1.5101320554725695E+000                  1.8357007114040483E-002                  1.0227556548461141E+001                 -3.6994798536589060E+000                  6.0339049129001534E+000                  1.3347881381951041E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  4.7513348910093335E-050                  9.9849372886227949E-001                  2.4128183525500403E-004                  6.5663693516039491E-004                  2.4128183525500468E-004                  6.5663693516039665E-004                  2.9625129443115666E-051                  5.4917155087425309E+000                                        0                                        2 
                                       5                                      509                  7.4416000000000014E-005                 -4.6832750158095005E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.8965741834320872E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.8965741834320872E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4514067115990500E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4514067115990500E+001                 -3.4514067115990500E+001                 -8.8435422840570070E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644239460805020E+000                  4.4806874551966009E+000                  1.8341489963017936E+000                  1.5101323241937894E+000                 -1.6273316152724904E-003                  1.0227557182649113E+001                 -3.6994793759359670E+000                  6.0339050704116666E+000                  1.3347881381392568E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  3.5357828821368999E-049                  9.9849372886227949E-001                  2.4128183525500403E-004                  6.5663693516039491E-004                  2.4128183525500468E-004                  6.5663693516039654E-004                  2.2046023135631906E-050                  5.4917155087425309E+000                                        0                                        2 
                                      10                                      509                  2.5958682111999997E-004                 -4.2873687855713758E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.8979960960777551E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.8979960960777551E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4514047668821945E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4514047668821945E+001                 -3.4514047668821945E+001                 -8.7893002034579069E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644225831845992E+000                  4.4806810756179196E+000                  1.8341485323042586E+000                  1.5101332521888595E+000                 -1.5346014959736079E-003                  1.0227559007637606E+001                 -3.6994780027091885E+000                  6.0339055244214448E+000                  1.3347881379781121E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  1.2334238982316940E-048                  9.9849372886227961E-001                  2.4128183525500406E-004                  6.5663693516039491E-004                  2.4128183525500460E-004                  6.5663693516039643E-004                  7.6905460917782801E-050                  5.4917155087425327E+000                                        0                                        2 
                                      15                                      509                  7.2035107872931814E-004                 -3.8914625553332525E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9015593960218375E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9015593960218375E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4513999289890499E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4513999289890499E+001                 -3.4513999289890499E+001                 -8.7450223231972842E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644218214765234E+000                  4.4806757887408821E+000                  1.8341474122818904E+000                  1.5101354922335959E+000                 -1.4916917036935588E-003                  1.0227563547845076E+001                 -3.6994745892914676E+000                  6.0339066553354206E+000                  1.3347881375763770E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  3.4229453523068337E-048                  9.9849372886227949E-001                  2.4128183525500403E-004                  6.5663693516039491E-004                  2.4128183525500463E-004                  6.5663693516039665E-004                  2.1342492034051941E-049                  5.4917155087425336E+000                                        0                                        2 
                                      20                                      509                  1.8668799962237366E-003                 -3.4955563250951283E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9105765408827742E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9105765408827742E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4513878918316799E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4513878918316799E+001                 -3.4513878918316799E+001                 -8.7037830187266337E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644218419467245E+000                  4.4806703976117870E+000                  1.8341446757769420E+000                  1.5101409652434932E+000                 -1.4734041344481314E-003                  1.0227574844474971E+001                 -3.6994660984562771E+000                  6.0339094702792320E+000                  1.3347881365761849E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  8.8723153984310155E-048                  9.9849372886227938E-001                  2.4128183525500406E-004                  6.5663693516039491E-004                  2.4128183525500455E-004                  6.5663693516039632E-004                  5.5320099192438266E-049                  5.4917155087425336E+000                                        0                                        2 
                                      25                                      509                  4.7198108322034473E-003                 -3.0996500948570040E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9337344493756925E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9337344493756925E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4513579409094888E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4513579409094888E+001                 -3.4513579409094888E+001                 -8.6637824294849807E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644225228089653E+000                  4.4806595590475107E+000                  1.8341378947703217E+000                  1.5101545272567336E+000                 -1.4711315584640611E-003                  1.0227602952977538E+001                 -3.6994449732992600E+000                  6.0339164754212309E+000                  1.3347881340870125E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  2.2439154153305954E-047                  9.9849372886227949E-001                  2.4128183525500406E-004                  6.5663693516039491E-004                  2.4128183525500463E-004                  6.5663693516039643E-004                  1.3991183592850225E-048                  5.4917155087425309E+000                                        0                                        2 
                                      30                                      509                  1.1818815689988481E-002                 -2.7037438646188803E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9907585911005155E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  6.9907585911005155E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4512834200309563E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4512834200309563E+001                 -3.4512834200309563E+001                 -8.6245352881917569E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644242752103867E+000                  4.4806328206201176E+000                  1.8341210207537821E+000                  1.5101882752898126E+000                 -1.4715489034912022E-003                  1.0227672890489407E+001                 -3.6993924118252566E+000                  6.0339339053922139E+000                  1.3347881278939615E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  5.6241558662343030E-047                  9.9849372886227949E-001                  2.4128183525500403E-004                  6.5663693516039491E-004                  2.4128183525500466E-004                  6.5663693516039665E-004                  3.5067940547189542E-048                  5.4917155087425327E+000                                        0                                        2 
                                      35                                      509                  2.9483411457712130E-002                 -2.3078376343807561E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  7.0195678795601192E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  7.0195678795601192E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4510980283543695E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4510980283543695E+001                 -3.4510980283543695E+001                 -8.5858568231597104E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644285837402409E+000                  4.4805660667741822E+000                  1.8340790267711067E+000                  1.5102722632551635E+000                 -1.4713891336753217E-003                  1.0227846884440073E+001                 -3.6992616440291175E+000                  6.0339772671437526E+000                  1.3347881124904739E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  1.4062435653733253E-046                  9.9849372886227949E-001                  2.4128183525500406E-004                  6.5663693516039491E-004                  2.4128183525500460E-004                  6.5663693516039643E-004                  8.7685093156234971E-048                  5.4917155087425344E+000                                        0                                        2 
                                      40                                      509                  7.3438578398454232E-002                 -1.9119314041426323E+000                  5.5000000000000000E+000                  3.4038868599854915E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998822145797062E-001                  7.0239444431514590E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998822145797062E-001                  7.0239444431514590E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.4506369606026205E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -3.4506369606026205E+001                 -3.4506369606026205E+001                 -8.5476574005091422E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9644392555448462E+000                  4.4803998521914945E+000                  1.8339745758705523E+000                  1.5104811650562722E+000                 -1.4700874058452759E-003                  1.0228279635671839E+001                 -3.6989363918114342E+000                  6.0340851092204346E+000                  1.3347880742018305E+000                  5.0001771185628674E-001                  4.0040962905694490E+000                  3.5228667682893095E-046                  9.9849372886227961E-001                  2.4128183525500403E-004                  6.5663693516039491E-004                  2.4128183525500460E-004                  6.5663693516039643E-004                  2.1968084753153139E-047                  5.4917155087425344E+000                                        0                                        2 
